2023-09-02 15:32:43 startup archives install
2023-09-02 15:32:43 install base-passwd:amd64 <none> 3.6.1
2023-09-02 15:32:43 status half-installed base-passwd:amd64 3.6.1
2023-09-02 15:32:43 status unpacked base-passwd:amd64 3.6.1
2023-09-02 15:32:43 configure base-passwd:amd64 3.6.1 3.6.1
2023-09-02 15:32:43 status half-configured base-passwd:amd64 3.6.1
2023-09-02 15:32:43 status installed base-passwd:amd64 3.6.1
2023-09-02 15:32:43 startup archives install
2023-09-02 15:32:43 install base-files:amd64 <none> 12.4+deb12u1
2023-09-02 15:32:43 status half-installed base-files:amd64 12.4+deb12u1
2023-09-02 15:32:43 status unpacked base-files:amd64 12.4+deb12u1
2023-09-02 15:32:43 configure base-files:amd64 12.4+deb12u1 12.4+deb12u1
2023-09-02 15:32:43 status half-configured base-files:amd64 12.4+deb12u1
2023-09-02 15:32:43 status installed base-files:amd64 12.4+deb12u1
2023-09-02 15:32:43 startup archives install
2023-09-02 15:32:43 upgrade dpkg 1.21.22 1.21.22
2023-09-02 15:32:43 status half-configured dpkg 1.21.22
2023-09-02 15:32:43 status unpacked dpkg 1.21.22
2023-09-02 15:32:43 status half-installed dpkg 1.21.22
2023-09-02 15:32:44 status unpacked dpkg:amd64 1.21.22
2023-09-02 15:32:44 configure dpkg:amd64 1.21.22 1.21.22
2023-09-02 15:32:44 status half-configured dpkg:amd64 1.21.22
2023-09-02 15:32:44 status installed dpkg:amd64 1.21.22
2023-09-02 15:32:44 startup archives install
2023-09-02 15:32:44 install libc6:amd64 <none> 2.36-9+deb12u1
2023-09-02 15:32:44 status half-installed libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:45 status unpacked libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:45 configure libc6:amd64 2.36-9+deb12u1 2.36-9+deb12u1
2023-09-02 15:32:45 status half-configured libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:45 status installed libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:45 startup archives install
2023-09-02 15:32:45 install perl-base:amd64 <none> 5.36.0-7
2023-09-02 15:32:45 status half-installed perl-base:amd64 5.36.0-7
2023-09-02 15:32:46 status unpacked perl-base:amd64 5.36.0-7
2023-09-02 15:32:46 configure perl-base:amd64 5.36.0-7 5.36.0-7
2023-09-02 15:32:46 status half-configured perl-base:amd64 5.36.0-7
2023-09-02 15:32:46 status installed perl-base:amd64 5.36.0-7
2023-09-02 15:32:46 startup archives install
2023-09-02 15:32:46 install mawk:amd64 <none> 1.3.4.20200120-3.1
2023-09-02 15:32:46 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:46 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:46 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-09-02 15:32:46 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:46 status installed mawk:amd64 1.3.4.20200120-3.1
2023-09-02 15:32:46 startup archives install
2023-09-02 15:32:46 install debconf:all <none> 1.5.82
2023-09-02 15:32:46 status half-installed debconf:all 1.5.82
2023-09-02 15:32:47 status unpacked debconf:all 1.5.82
2023-09-02 15:32:47 configure debconf:all 1.5.82 1.5.82
2023-09-02 15:32:47 status half-configured debconf:all 1.5.82
2023-09-02 15:32:47 status installed debconf:all 1.5.82
2023-09-02 15:32:47 startup archives unpack
2023-09-02 15:32:47 install gcc-12-base:amd64 <none> 12.2.0-14
2023-09-02 15:32:47 status half-installed gcc-12-base:amd64 12.2.0-14
2023-09-02 15:32:47 status unpacked gcc-12-base:amd64 12.2.0-14
2023-09-02 15:32:47 install libgcc-s1:amd64 <none> 12.2.0-14
2023-09-02 15:32:47 status half-installed libgcc-s1:amd64 12.2.0-14
2023-09-02 15:32:47 status unpacked libgcc-s1:amd64 12.2.0-14
2023-09-02 15:32:47 install libidn2-0:amd64 <none> 2.3.3-1+b1
2023-09-02 15:32:47 status half-installed libidn2-0:amd64 2.3.3-1+b1
2023-09-02 15:32:48 status unpacked libidn2-0:amd64 2.3.3-1+b1
2023-09-02 15:32:48 upgrade libc6:amd64 2.36-9+deb12u1 2.36-9+deb12u1
2023-09-02 15:32:48 status half-configured libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:48 status unpacked libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:48 status half-installed libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:48 status unpacked libc6:amd64 2.36-9+deb12u1
2023-09-02 15:32:48 install libaudit-common:all <none> 1:3.0.9-1
2023-09-02 15:32:48 status half-installed libaudit-common:all 1:3.0.9-1
2023-09-02 15:32:48 status unpacked libaudit-common:all 1:3.0.9-1
2023-09-02 15:32:48 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2023-09-02 15:32:48 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2023-09-02 15:32:49 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2023-09-02 15:32:49 install libaudit1:amd64 <none> 1:3.0.9-1
2023-09-02 15:32:49 status half-installed libaudit1:amd64 1:3.0.9-1
2023-09-02 15:32:49 status unpacked libaudit1:amd64 1:3.0.9-1
2023-09-02 15:32:49 install libcrypt1:amd64 <none> 1:4.4.33-2
2023-09-02 15:32:49 status half-installed libcrypt1:amd64 1:4.4.33-2
2023-09-02 15:32:49 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-09-02 15:32:49 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2023-09-02 15:32:49 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2023-09-02 15:32:49 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2023-09-02 15:32:49 install libgpg-error0:amd64 <none> 1.46-1
2023-09-02 15:32:49 status half-installed libgpg-error0:amd64 1.46-1
2023-09-02 15:32:49 status unpacked libgpg-error0:amd64 1.46-1
2023-09-02 15:32:49 install libgcrypt20:amd64 <none> 1.10.1-3
2023-09-02 15:32:49 status half-installed libgcrypt20:amd64 1.10.1-3
2023-09-02 15:32:49 status unpacked libgcrypt20:amd64 1.10.1-3
2023-09-02 15:32:49 install gpgv:amd64 <none> 2.2.40-1.1
2023-09-02 15:32:49 status half-installed gpgv:amd64 2.2.40-1.1
2023-09-02 15:32:49 status unpacked gpgv:amd64 2.2.40-1.1
2023-09-02 15:32:49 install liblz4-1:amd64 <none> 1.9.4-1
2023-09-02 15:32:49 status half-installed liblz4-1:amd64 1.9.4-1
2023-09-02 15:32:49 status unpacked liblz4-1:amd64 1.9.4-1
2023-09-02 15:32:49 install liblzma5:amd64 <none> 5.4.1-0.2
2023-09-02 15:32:49 status half-installed liblzma5:amd64 5.4.1-0.2
2023-09-02 15:32:49 status unpacked liblzma5:amd64 5.4.1-0.2
2023-09-02 15:32:49 install libcap2:amd64 <none> 1:2.66-4
2023-09-02 15:32:49 status half-installed libcap2:amd64 1:2.66-4
2023-09-02 15:32:49 status unpacked libcap2:amd64 1:2.66-4
2023-09-02 15:32:49 install libapt-pkg6.0:amd64 <none> 2.6.1
2023-09-02 15:32:49 status half-installed libapt-pkg6.0:amd64 2.6.1
2023-09-02 15:32:49 status unpacked libapt-pkg6.0:amd64 2.6.1
2023-09-02 15:32:49 install debian-archive-keyring:all <none> 2023.3
2023-09-02 15:32:49 status half-installed debian-archive-keyring:all 2023.3
2023-09-02 15:32:49 status unpacked debian-archive-keyring:all 2023.3
2023-09-02 15:32:50 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2023-09-02 15:32:50 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-09-02 15:32:50 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-09-02 15:32:50 install libnettle8:amd64 <none> 3.8.1-2
2023-09-02 15:32:50 status half-installed libnettle8:amd64 3.8.1-2
2023-09-02 15:32:50 status unpacked libnettle8:amd64 3.8.1-2
2023-09-02 15:32:50 install libhogweed6:amd64 <none> 3.8.1-2
2023-09-02 15:32:50 status half-installed libhogweed6:amd64 3.8.1-2
2023-09-02 15:32:50 status unpacked libhogweed6:amd64 3.8.1-2
2023-09-02 15:32:50 install libffi8:amd64 <none> 3.4.4-1
2023-09-02 15:32:50 status half-installed libffi8:amd64 3.4.4-1
2023-09-02 15:32:50 status unpacked libffi8:amd64 3.4.4-1
2023-09-02 15:32:50 install libp11-kit0:amd64 <none> 0.24.1-2
2023-09-02 15:32:50 status half-installed libp11-kit0:amd64 0.24.1-2
2023-09-02 15:32:50 status unpacked libp11-kit0:amd64 0.24.1-2
2023-09-02 15:32:50 install libgnutls30:amd64 <none> 3.7.9-2
2023-09-02 15:32:50 status half-installed libgnutls30:amd64 3.7.9-2
2023-09-02 15:32:50 status unpacked libgnutls30:amd64 3.7.9-2
2023-09-02 15:32:50 install apt:amd64 <none> 2.6.1
2023-09-02 15:32:50 status half-installed apt:amd64 2.6.1
2023-09-02 15:32:50 status unpacked apt:amd64 2.6.1
2023-09-02 15:32:51 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2023-09-02 15:32:51 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2023-09-02 15:32:51 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-09-02 15:32:51 install libmd0:amd64 <none> 1.0.4-2
2023-09-02 15:32:51 status half-installed libmd0:amd64 1.0.4-2
2023-09-02 15:32:51 status unpacked libmd0:amd64 1.0.4-2
2023-09-02 15:32:51 install libpcre2-8-0:amd64 <none> 10.42-1
2023-09-02 15:32:51 status half-installed libpcre2-8-0:amd64 10.42-1
2023-09-02 15:32:51 status unpacked libpcre2-8-0:amd64 10.42-1
2023-09-02 15:32:51 install libacl1:amd64 <none> 2.3.1-3
2023-09-02 15:32:51 status half-installed libacl1:amd64 2.3.1-3
2023-09-02 15:32:51 status unpacked libacl1:amd64 2.3.1-3
2023-09-02 15:32:51 upgrade dpkg:amd64 1.21.22 1.21.22
2023-09-02 15:32:51 status half-configured dpkg:amd64 1.21.22
2023-09-02 15:32:51 status unpacked dpkg:amd64 1.21.22
2023-09-02 15:32:51 status half-installed dpkg:amd64 1.21.22
2023-09-02 15:32:51 status unpacked dpkg:amd64 1.21.22
2023-09-02 15:32:51 upgrade debconf:all 1.5.82 1.5.82
2023-09-02 15:32:51 status half-configured debconf:all 1.5.82
2023-09-02 15:32:51 status unpacked debconf:all 1.5.82
2023-09-02 15:32:51 status half-installed debconf:all 1.5.82
2023-09-02 15:32:51 status unpacked debconf:all 1.5.82
2023-09-02 15:32:51 install libpam0g:amd64 <none> 1.5.2-6
2023-09-02 15:32:51 status half-installed libpam0g:amd64 1.5.2-6
2023-09-02 15:32:51 status unpacked libpam0g:amd64 1.5.2-6
2023-09-02 15:32:52 install libpam-modules-bin:amd64 <none> 1.5.2-6
2023-09-02 15:32:52 status half-installed libpam-modules-bin:amd64 1.5.2-6
2023-09-02 15:32:52 status unpacked libpam-modules-bin:amd64 1.5.2-6
2023-09-02 15:32:52 install libpam-modules:amd64 <none> 1.5.2-6
2023-09-02 15:32:52 status half-installed libpam-modules:amd64 1.5.2-6
